keys,comments,en,de,es,fr,id,it,ja,ko,pt-BR,pt-PT,uk,ru,th,tr,he,ar,vi,zh-Hans,zh-Hant
apple.login.signout,,Log out,,Cerrar sesión,Se déconnecter,,,,,Sair,Sair,Вийти,Выйти,,Çıkış Yap,יציאה,تسجيل الخروج,,,
att.request.cta,,"Ok, I understand",,"Bien, acepto","D'accord, je comprends",,,,,"Ok, eu entendo","Ok, eu entendo","Так, я розумію","Да, я понимаю",,"Tamam, anladım","בסדר, הבנתי",حسنًا، فهمت الأمر,,,
att.request.description.first,,For a better user experience,,,,,,,,,,,,,,,,,,
att.request.description.second,,For content that aligns with your interests,,,,,,,,,,,,,,,,,,
att.request.note,,You can always review your decision and make changes in settings at any time,,,,,,,,,,,,,,,,,,
att.request.title,,Enable tracking,,,,,,,,,,,,,,,,,,
check.internet.title,,"Please, check your internet connection and try again later",,Asegúrate de que el dispositivo tiene conexión,Veuillez vérifier votre connexion à Internet et réessayez,,,,,Verifique a sua ligação à Internet e tente novamente,Verifique a sua ligação à Internet e tente novamente,Перевірте з'єднання і спробуйте знову,Проверьте соединение и попробуйте снова,,Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin,בדוק/י את החיבור לאינטרנט ונסה/י שוב מאוחר יותר,يرجى التحقق من اتصالك بالإنترنت والمحاولة مجددًا في وقت لاحق,,,
default_banner.title,,Premium\nNo ads & more features!,,Premium\n¡Sin publicidad y con más características!,Premium\nAucune publicité et davantage de fonctionnalités !,,,,,Premium\nSem anúncios e com mais funcionalidades!,Premium\nSem anúncios e com mais funcionalidades!,Преміум\nБільше функцій без реклами,Премиум\nБольше функций без рекламы,,Premium\nReklam yok ve başka özellikler!,פרימיום\nבלי פרסומות ועם תכונות נוספות!,حساب Premium\nمن دون إعلانات وبمزيد من الخاصيات!,,,
default_banner.upgrade.title,,UPGRADE,,COMPRAR,AMÉLIORER,,,,,ATUALIZAR,ATUALIZAR,КУПИТИ,КУПИТЬ,,YÜKSELT,שדרוג,الترقية,,,
general.button.back,,Back,,Atras,Retour,,,,,Recuar,Recuar,Назад,Назад,,Geri,הקודם,الرجوع,,,
general.button.close,,Close,,Cerrar,Fermer,,,,,Fechar,Fechar,Закрити,Закрыть,,Kapatmak,סגור,إغلاق,,,
general.button.done,,Done,,Hecho,Terminé,,,,,Feito,Feito,Готово,Готово,,Bitti,סיום,تم,,,
general.button.ok,,Ok,,Ok,D'accord,,,,,Ok,Ok,Ок,Ок,,Tamam,אישור,موافق,,,
general.button.retry,,Retry,,Otra vez,Réessayer,,,,,Repetir,Repetir,Ще раз,Ещё раз,,Tekrar dene,ניסיון נוסף,إعادة المحاولة,,,
no_internet.subtitle,,"No internet connection, try later",,No hay conexión a Internet. Inténtelo más tarde.,"Pas de connexion à Internet, réessayez plus tard",,,,,"Sem ligação à Internet, tente mais tarde","Sem ligação à Internet, tente mais tarde","З'єднання відсутне, спробуйте пізніше","Отсутствует соединение, попробуйте позже",,"İnternet bağlantısı yok, daha sonra deneyin","אין חיבור לאינטרנט, נסה/י מאוחר יותר",لا يوجد اتصال بالإنترنت. حاول في وقت لاحق,,,
no_internet.title,,Ooops,,Ooops,Oups,,,,,Ups,Ups,Упс,Упс,,Hay aksi,אופס,عذرًا,,,
no_mail_app.subtitle,,You don't have Mail app,,No tienes la aplicación Mail,Vous n'avez pas d'application de messagerie,,,,,Não tem aplicação de email,Não tem aplicação de email,У вас немає додатку Пошта,На устройстве нет приложения Почта,,Posta uygulamanız yok,אין לך אפליקציית דואר,ليس لديك تطبيق للبريد,,,
no_mail_app.title,,Ooops,,Ooops,Oups,,,,,Ups,Ups,Упс,Упс,,Hay aksi,אופס,عذرًا,,,
settings.contact_us.subtitle,,We would love to hear from you,,Enviar un comentario,Nous serions ravis d'avoir votre avis,,,,,Gostaríamos muito de saber a sua opinião,Gostaríamos muito de saber a sua opinião,Нам цікаво,Нам интересно,,Yorumlarınızı bekliyoruz,נשמח לשמוע מה דעתך,نود أن نسمع منك,,,
settings.contact_us.title,,Contact Us,,Contáctenos,Nous contacter,,,,,Contacte-nos,Contacte-nos,Напишіть нам,Напишите нам,,İletişim,יצירת קשר,تواصل معنا,,,
settings.help_support.section.title,,Help & Support,,Ayuda y soporte,Aide et assistance,,,,,Ajuda e Assistência,Ajuda e Assistência,Допомога і підтримка,Помощь и Поддержка,,Yardım ve Destek,עזרה ותמיכה,المساعدة والدعم,,,
settings.privacy.subtitle,,And other legal texts,,Y otros textos legales,Et autres mentions légales,,,,,E outros textos legais,E outros textos legais,I інші юридичні тексти,И другие юридические тексты,,Ve diğer yasal metinler,וטקסטים משפטיים אחרים,والنصوص القانونية الأخرى,,,
settings.privacy.title,,Privacy Policy,,Política de privacidad,Politique de confidentialité,,,,,Política de Privacidade,Política de Privacidade,Приватність,Приватность,,Gizlilik Politikası,מדיניות פרטיות,سياسة الخصوصية,,,
settings.rateapp.title,,Rate the App,,Puntuar app,Évaluer l'application,,,,,Avalie a aplicação,Avalie a aplicação,Оцініть додаток,Оцените приложение,,Uygulamayı değerlendirin,דרג/י את האפליקציה,تقييم التطبيق,,,
settings.restore_fail.subtitle,,"Sorry, it looks like you don't have any purchases ",,Parece que no tienes ninguna compra,"Désolé, il semble que vous n'ayez effectué aucun achat",,,,,"Desculpe, parece que você não tem nenhuma compra","Desculpe, parece que você não tem nenhuma compra","На жаль, схоже, у вас немає покупок","Извините, похоже, у вас нет покупок",,Maalesef satın alma işleminiz yok gibi görünüyor,"מצטערים, נראה שאין לך רכישות",عذرًا، يبدو أنك لم تجرِ أي عمليات شراء,,,
settings.restore.subtitle,,We’ll find stuff you have already bought,,Encontraremos todo lo que has comprado,Nous trouverons les articles que vous avez déjà achetés,,,,,Encontraremos coisas que já comprou,Encontraremos coisas que já comprou,"Знайдемо те, що ви вже купили",Найдём то что вы уже купили,,Daha önce satın aldığınız öğeleri bulacağız,נמצא דברים שכבר קנית,سنعثر على الأشياء التي اشتريتها بالفعل,,,
settings.restore.title,,Restore Purchases,,Recuperar las compras,Restaurer les achats,,,,,Restaurar compras,Restaurar compras,Відновити покупки,Восстановить покупки,,Satın Alınanları Geri Yükle,שחזור רכישות,استعادة المشتريات,,,
settings.share_app.title,,Share App,,Compartir app,Partager l'application,,,,,Partilhar a Aplicação,Partilhar a Aplicação,Поділитися,Поделиться,,Uygulamayı Paylaşın,שתף/י את האפליקציה,مشاركة التطبيق,,,
settings.share.subtitle,,Share via your favorite messenger,,Con ayuda de su mensajero favorito,Partagez via votre messagerie préférée,,,,,Partilhe através da sua aplicação de mensagens favorita,Partilhe através da sua aplicação de mensagens favorita,Вашим улюбленим способом,Вашим любимым способом ,,Favori mesajlaşma uygulamanız yoluyla paylaşın,שתף/י באפליקציית ההודעות האהובה עליך,المشاركة عبر تطبيق الرسائل المفضل لديك,,,
start.button.continue,,"Ok, I understand",,"Bien, acepto","D'accord, je comprends",,,,,"Ok, eu entendo","Ok, eu entendo","Так, я розумію","Да, я понимаю",,"Tamam, anladım","בסדר, הבנתי",حسنًا، فهمت الأمر,,,
start.feature.first,,"Location, so that the app can ensure that you get the most accurate local weather data",,Servicios de localisacion para obdener datos de tiempo más exactos,"Emplacement, afin que l'application puisse garantir que vous obtenez les données météorologiques locales les plus précises",,,,,"Localização, para que a aplicação possa garantir que recebe os dados meteorológicos locais mais precisos","Localização, para que a aplicação possa garantir que recebe os dados meteorológicos locais mais precisos","До геолокації, щоб додаток міг показувати місцеву погоду","К местоположению, чтобы приложение могло показывать местную погоду ",,Uygulamanın en doğru yerel hava durumu verilerini almanızı sağlayabilmesi için konum,"מיקום, כדי שהאפליקציה תוכל לספק לך את נתוני מזג האוויר המקומי המדויקים ביותר",الموقع، كي يستطيع التطبيق التأكد من حصولك على أدق بيانات الطقس المحلي,,,
start.feature.second,,"Notifications, to be aware of important, dangerous and disrupting weather changes",,Notificationes para obtener alertas de todo lo peligroso y curioso,"Notifications, pour vous tenir au courant des changements météorologiques importants, dangereux et perturbateurs",,,,,"Notificações, para estar ao corrente de alterações meteorológicas importantes, perigosas e perturbadoras","Notificações, para estar ao corrente de alterações meteorológicas importantes, perigosas e perturbadoras","До нотифікацій, щоб отримувати прогноз і попередження","К нотификациям, чтобы получать прогноз и предупреждения",,"Önemli, tehlikeli ve rahatsız edici hava durumu değişikliklerinden haberdar olmak için bildirimler","עדכונים, כדי שתהיה/י מודע/ת לשינויים במזג האוויר שעשויים להיות מסוכנים או לשבש את שגרת יומך",الإشعارات، من أجل البقاء على اطلاع بتغيرات الطقس الهامة، وخصوصًا المزعجة والخطيرة منها,,,
start.subtitle,,Will be possible if you grant access to:,,Sera posible quando app tenga accesso:,Sera possible si vous accordez l'accès à :,,,,,Será possível se permitir o acesso a:,Será possível se permitir o acesso a:,"Буде можливий, якщо надати доступ:",Будет возможен если предоставить доступ:,,Aşağıdakilere erişim izni verirseniz mümkün olur:,יתאפשר אם תעניק/י גישה ל:,سيكون الأمر ممكنًا إذا سمحت بالوصول إلى:,,,
start.title,,Best weather experience,,Una experiencia perfecta,Meilleure expérience météo,,,,,Melhor experiência meteorológica,Melhor experiência meteorológica,Кращий погодний досвід,Лучший погодный опыт,,En iyi hava durumu deneyimi,האפליקציה הכי טובה בקטגוריה של מזג אוויר,أفضل تجربة مع تطبيقات الطقس,,,
subs.additional_offer.subtitle,Here is an offer for you:,Here is an offer for you:,,Aquí hay una oferta:,Voici une offre :,,,,,Aqui está uma oferta:,Aqui está uma oferta:,Ось пропозиція:,Вот предложение:,,İşte size bir teklif:,הנה הצעה עבורך:,إليك عرض لا يُقاوَم:,,,
subs.additional_offer.text_format,"You can choose between a longer trial period (that’s 7 days instead of 3) and paying even less per quarter. Try 7 days free, then $6.99 per month. Get all the premium features. Don’t miss this limited time deal!","You can choose between a longer trial period (that’s 7 days instead of 3) and paying even less per quarter. Try 7 days free, then %@. Get all the premium features. Don’t miss this limited time deal!",,"Se puede elegir entre un período de prueba más largo (es decir, 7 días en lugar de 3) y pagar incluso menos por trimestre. Prueba 7 días gratis, luego % @. Obtenga todas las funciones premium. ¡No se pierda esta oferta por tiempo limitado!","Choisissez entre une période d'essai plus longue (7 jours au lieu de 3) et un prix plus bas par trimestre. 7 jours gratuits, puis %@. Toutes les fonctionnalités premium. Ne manquez pas cette offre limitée dans le temps !",,,,,"Escolha entre um período de teste mais longo (7 dias em vez de 3) e um preço mais baixo por trimestre. 7 dias grátis, depois %@. Todos os recursos premium. Não perca esta oferta por tempo limitado!","Escolha entre um período de teste mais longo (7 dias em vez de 3) e um preço mais baixo por trimestre. 7 dias grátis, depois %@. Todos os recursos premium. Não perca esta oferta por tempo limitado!","Вибирай між більш тривалим випробувальним періодом (7 днів замість 3) та низькою ціною за квартал. 7 днів безкоштовно, потім %@. Усі преміум-функції. Не пропусти цю обмежену за часом угоду!","Выбирай между более длительным испытательным периодом (7 дней вместо 3) и низкой ценой за квартал. 7 дней бесплатно, затем %@. Все премиум-функции. Не пропусти эту ограниченную по времени сделку!",,"Daha uzun bir deneme süresi (3 yerine 7 gün) ve her çeyrekte daha da az ödeme arasında seçim yapabilirsiniz. 7 gün ücretsiz deneyin, ardından %@. Tüm premium özellikleri edinin. Bu sınırlı süreli fırsatı kaçırmayın!",ניתן לבחור בין תקופת ניסיון ארוכה יותר (שבעה ימים במקום שלושה) ולשלם אפילו פחות בכל רבעון. נסה/י שבעה ימים בחינם ואז שלם/י %@. תקבל/י את כל תכונות הפרימיום. לא כדאי לפספס את המבצע הזה – הוא לזמן מוגבל!,يمكنك الاختيار من بين فترة تجريبية أطول (7 أيام بدلًا من 3) ودفع مبلغ أقل بشكل ربع سنوي. جرب التطبيق لمدة 7 أيام مجانًا، ثم %@. احصل على كل خاصيات premium ولا تفوت هذه الفرصة محدودة الوقت!,,,
subs.additional_offer.title,Not convinced?,Not convinced?,,¿No decidido?,Pas convaincu?,,,,,Não convencido?,Não convencido?,Не переконаний?,Не убедили? ,,ikna olmadınız mı?,לא השתכנעת?,ألم تقتنع بعد؟,,,
subs.button.no_internet,,Remind me when internet connection is back,,,,,,,,,,,,,,,,,,
subs.button.privacy,,Privacy,,Privacidad,Vie privée,,,,,Privacidade,Privacidade,Приватнiсть,Приватность,,Gizlilik,פרטיות,الخصوصية,,,
subs.button.restore,,Restore,,Recuperar,Restaurer,,,,,Restaurar,Restaurar,Відновити,Восстановить,,Geri yükle,שחזור,استعادة,,,
subs.button.terms,,Terms,,Condiciones ,Conditions,,,,,Termos,Termos,Умови,Условия,,Koşullar,תנאים,الشروط,,,
subs.one_button.button.close,,or continue with a limited version,,o sigue con la versión limitada,ou continuer avec la version limitée,,,,,ou continue com uma versão limitada,ou continue com uma versão limitada,Продовжити з обмеженнями,Продолжить с ограничениями,,veya sınırlı bir sürümle devam edin,או המשך/י עם גרסה מוגבלת,أو الاستمرار مع الإصدار المحدود,,,
subs.one_button.button.continue,,Continue,,Continuar,Continuer,,,,,Continuar,Continuar,Продовжити,Продолжить,,Devam et,המשך,المتابعة,,,
subs.one_button.feature.first,,Enjoy all features of the app,,Todas las funciones,Profitez de toutes les fonctionnalités de l'application,,,,,Desfrute de todas as funcionalidades da aplicação,Desfrute de todas as funcionalidades da aplicação,Всі функції додатку,Все функции приложения,,Uygulamanın tüm özelliklerinin keyfini çıkarın,ליהנות מכל התכונות של האפליקציה,الاستمتاع بكل خاصيات التطبيق,,,
subs.one_button.feature.second,,Remove ads,,Eliminar anuncios,Supprimer les annonces,,,,,Remover anúncios,Remover anúncios,Без реклами,Без рекламы,,Reklamları kaldır,הסרת פרסומות,إزالة الإعلانات,,,
subs.one_button.price,,subscribe for %@ per %@,,¡Suscribirse por %@/%@!,abonnez-vous pour %@ par %@,,,,,subscreva por %@ por %@,subscreva por %@ por %@,підпишись за %@ в %@,подпишись за %@ в %@,,%@ / %@ karşılığında abone olun,הירשם/י למינוי במחיר של %@ לכל %@,الاشتراك مقابل %@ كل %@,,,
subs.one_button.title,,Unlimited access\nto all features,,Acceso ilimitado,Accès illimité\nà toutes les fonctionnalités,,,,,Acesso ilimitado\na todas as funcionalidades,Acesso ilimitado\na todas as funcionalidades,Всі функції\nбез обмежень,Все функции\nбез ограничений,,Tüm özelliklere\nsınırsız erişim,גישה ללא הגבלה\nלכל התכונות,صلاحية وصول غير محدودة\nإلى كل الخاصيات,,,
subs.one_button.trial.actual,,Then %@ per %@,,Después %@ por %@,Puis %@ par %@,,,,,Depois %@ por %@,Depois %@ por %@,Потім %@ на %@,Затем %@ в %@,,Ardından %@ / %@,לאחר מכן במחיר של %@ לכל %@,ثم %@ كل %@,,,
subs.one_button.trial.free,,%d days trial,,Prueba gratuita de %d días,%d jours d'essai,,,,,%d dias de teste,%d dias de teste,%d днi безкоштовно,%d дня бесплатно,,%d günlük deneme,גרסת ניסיון ל-%d ימים,التجربة لمدة %d من الأيام,,,
subs.period.day,,day,,día,jour,,,,,dia,dia,день,день,,gün,יום,يوم,,,
subs.period.month,,month,,mes,mois,,,,,mês,mês,місяць,месяц,,ay,חודש,شهر,,,
subs.period.quartal,,quarter,,trimestre,trimestre,,,,,trimestre,trimestre,квартал,квартал,,çeyrek,רבעון,ربع سنوي,,,
subs.period.week,,week,,semana,semaine,,,,,semana,semana,тиждень,неделю,,hafta,שבוע,أسبوع,,,
subs.period.year,,year,,año,année,,,,,ano,ano,рік,год,,yıl,שנה,سنة,,,
subs.price_per_period,$9.99 per quarter,%@ per %@,,%@ por %@,%@ par %@,,,,,%@ por %@,%@ por %@,%@ на %@,%@ за %@,,%@ / %@,%@ לכל %@,%@ كل %@,,,
subs.price_slash_period,$3.33/month,%@/%@,,%@/%@,%@/%@,,,,,%@/%@,%@/%@,%@/на %@,%@/%@,,%@/%@,%@/%@,%@/%@,,,
subs.try_free_and_subscribe,Try Free and Subscribe,Try Free and Subscribe,,Pruéba gratis y suscríbete,Essayez et abonnez-vous,,,,,Experimente e subscreva,Experimente e subscreva,Спробуйте безкоштовно та підпишіться,Попробуйте и подпишитесь,,Ücretsiz Deneyin ve Abone Olun,נסה/י בחינם והירשם/י,فلتجربه مجانًا واشترك,,,
subs.two_buttons.info_just,That’s just $3.33/month,That's just %@,,Por solo %@,Ça ne coûte que %@,,,,,Por apenas %@,Por apenas %@,Вартість – лише %@,Это всего %@,,Sadece %@,"זה אומר בסה""כ %@",وذلك فقط %@,,,
subs.two_buttons.subtitle,Try For Free,Try For Free,,Prueba gratuita,Essayer gratuitement,,,,,Experimentar grátis,Experimentar grátis,Спробувати безкоштовно,Попробуйте бесплатно,,Ücretsiz Deneyin,נסה/י בחינם,فلتجربه مجانًا,,,
subs.two_buttons.text,Enjoy all features of the app ad free and make sure that all new features are unlocked for you to use. Try for free. No commitment. Cancel anytime.,Enjoy all features of the app ad free and make sure that all new features are unlocked for you to use. Try for free. No commitment. Cancel anytime.,,Disfruta de todas las características de la aplicación sin publicidad. Pruébala gratis sin compromiso (puedes cancelar en cualquier momento).,Déverrouillez et profitez de toutes les fonctionnalités de l'application sans publicité. Essayez gratuitement. Aucun engagement. Annulez à tout moment.,,,,,Desfrute de todas as funcionalidades da aplicação sem anúncios e certifique-se de que todas as novas funcionalidades estão desbloqueadas para usar. Experimente gratuitamente. Sem compromisso. Cancele a qualquer momento.,Desfrute de todas as funcionalidades da aplicação sem anúncios e certifique-se de que todas as novas funcionalidades estão desbloqueadas para usar. Experimente gratuitamente. Sem compromisso. Cancele a qualquer momento.,"Використовуйте всі функції застосунка безкоштовно та розблокуйте всі нові можливості. Спробуйте безкоштовно. Ніяких зобов’язань, і скасувати можна будь-коли.",Наслаждайтесь всеми функциями приложения без рекламы! Вам будут доступны также все новые возможности приложения. Попробуйте бесплатно. Никаких обязательств. Отмена в любое время.,,Ücretsiz olarak uygulamanın tüm özelliklerinin keyfini çıkarın ve tüm yeni özelliklerin kilidinin açılmasını sağlayın. Ücretsiz deneyin. Taahhüt yok. Dilediğiniz zaman iptal edebilirsiniz.,"תוכל/י ליהנות מכל התכונות של האפליקציה ללא פרסומות, כולל כל התכונות החדשות – כולן זמינות לך. נסה/י בחינם. ללא התחייבות. ניתן לבטל בכל שלב.",استمتع بكل خاصيات التطبيق من دون إعلانات، وأيضًا بكل الخاصيات الجديدة التي ستتاح لك لتستخدمها. يمكنك تجربته مجانًا دون أي التزامات، لأنك تستطيع في أي وقت الإلغاء.,,,
subs.two_buttons.text_format,"Enjoy all features of the app ad free and make sure that all new features are unlocked for you to use. Try 3 days free, then $4.99 per month. No commitment. Cancel anytime.","Enjoy all features of the app ad free and make sure that all new features are unlocked for you to use. Try %d days free, then %@. No commitment. Cancel anytime.",,"Disfruta de todas las características de la aplicación sin publicidad. Pruébala gratis durante %d días (después, %@). Puedes cancelar en cualquier momento.","Déverrouillez et profitez de toutes les fonctionnalités de l'application sans publicité. Essayez gratuitement pendant %d jours, puis payez %@. Aucun engagement. Annulez à tout moment.",,,,,"Desfrute de todas as funcionalidades da aplicação sem anúncios e certifique-se de que todas as novas funcionalidades estão desbloqueadas para usar. Experimente %d dias grátis, e depois %@. Sem compromisso. Cancele a qualquer momento.","Desfrute de todas as funcionalidades da aplicação sem anúncios e certifique-se de que todas as novas funcionalidades estão desbloqueadas para usar. Experimente %d dias grátis, e depois %@. Sem compromisso. Cancele a qualquer momento.","Використовуйте всі функції застосунка безкоштовно та розблокуйте всі нові можливості. Отримайте ознайомлювальну версію на %d дні безкоштовно. Ціна в подальшому – %@. Ніяких зобов’язань, і скасувати можна будь-коли.","Наслаждайтесь всеми функциями приложения без рекламы! Вам будут доступны также все новые возможности приложения. Попробуйте %d дня бесплатно, затем %@. Никаких обязательств. Отмена в любое время.",,"Ücretsiz olarak uygulamanın tüm özelliklerinin keyfini çıkarın ve tüm yeni özelliklerin kilidinin açılmasını sağlayın. %d gün ücretsiz deneyin, ardından %@. Taahhüt yok. Dilediğiniz zaman iptal edebilirsiniz.","תוכל/י ליהנות מכל התכונות של האפליקציה ללא פרסומות, כולל כל התכונות החדשות – כולן זמינות לך. נסה/י %d ימים בחינם, ואז שלם/י %@. ללא התחייבות. ניתן לבטל בכל שלב.",استمتع بكل خاصيات التطبيق من دون إعلانات، وأيضًا بكل الخاصيات الجديدة التي ستتاح لك لتستخدمها. يمكنك تجربته مجانًا لمدة %d من الأيام، ثم %@. لا توجد أي التزامات، لأنك تستطيع في أي وقت الإلغاء.,,,
subs.two_buttons.text_format7,"Enjoy all features of the app ad free and make sure that all new features are unlocked for you to use. Try 3 days free, then $4.99 per month. No commitment. Cancel anytime.","Enjoy all features of the app ad free and make sure that all new features are unlocked for you to use. Try %d days free, then %@. No commitment. Cancel anytime.",,"Disfruta de todas las características de la aplicación sin publicidad. Pruébala gratis durante %d días (después, %@). Puedes cancelar en cualquier momento.","Déverrouillez et profitez de toutes les fonctionnalités de l'application sans publicité. Essayez gratuitement pendant %d jours, puis payez %@. Aucun engagement. Annulez à tout moment.",,,,,"Desfrute de todas as funcionalidades da aplicação sem anúncios e certifique-se de que todas as novas funcionalidades estão desbloqueadas para usar. Experimente %d dias grátis, e depois %@. Sem compromisso. Cancele a qualquer momento.","Desfrute de todas as funcionalidades da aplicação sem anúncios e certifique-se de que todas as novas funcionalidades estão desbloqueadas para usar. Experimente %d dias grátis, e depois %@. Sem compromisso. Cancele a qualquer momento.","Використовуйте всі функції застосунка безкоштовно та розблокуйте всі нові можливості. Отримайте ознайомлювальну версію на %d днів безкоштовно. Ціна в подальшому – %@. Ніяких зобов’язань, і скасувати можна будь-коли.","Наслаждайтесь всеми функциями приложения без рекламы! Вам будут доступны также все новые возможности приложения. Попробуйте %d дней бесплатно, затем %@. Никаких обязательств. Отмена в любое время.",,"Ücretsiz olarak uygulamanın tüm özelliklerinin keyfini çıkarın ve tüm yeni özelliklerin kilidinin açılmasını sağlayın. %d gün ücretsiz deneyin, ardından %@. Taahhüt yok. Dilediğiniz zaman iptal edebilirsiniz.","תוכל/י ליהנות מכל התכונות של האפליקציה ללא פרסומות, כולל כל התכונות החדשות – כולן זמינות לך. נסה/י %d ימים בחינם, ואז שלם/י %@. ללא התחייבות. ניתן לבטל בכל שלב.",استمتع بكل خاصيات التطبيق من دون إعلانات، وأيضًا بكل الخاصيات الجديدة التي ستتاح لك لتستخدمها. يمكنك تجربته مجانًا لمدة %d من الأيام، ثم %@. لا توجد أي التزامات، لأنك تستطيع في أي وقت الإلغاء.,,,
subs.two_buttons.title,Full Access,Full Access,,Acceso total,Accès illimité,,,,,Acesso total,Acesso total,Повний доступ,Полный доступ,,Tam Erişim,גישה מלאה,صلاحية وصول كاملة,,,