keys,comments,en,de,es,fr,id,it,ja,ko,pt-BR,pt-PT,uk,ru,th,tr,vi,zh-Hans,zh-Hant,he,ar
CFBundleDisplayName,,Apps&Subs,,Tiempo y Clima,Météo et Climat,,,,,Clima e Meteorologia,Clima e Meteorologia,Погода & Клімат,Погода & Климат,,Hava ve İklim,,,,מזג אוויר ואקלים,الطقس والمناخ
NFCReaderUsageDescription,not used,A message that tells the user why the app is requesting access to the device’s NFC hardware.,,,,,,,,,,,,,,,,,,
NSAppleMusicUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s media library.,,,,,,,,,,,,,,,,,,
NSBluetoothAlwaysUsageDescription,not used,A message that tells the user why the app needs access to Bluetooth.,,,,,,,,,,,,,,,,,,
NSCalendarsUsageDescription,,Climate needs your calendar to provide personalised advertising experience tailored to you,,El Clima necesita su calendario para para proporcionarle una experiencia publicitaria personalizada,Climate a besoin de votre calendrier pour vous offrir une expérience publicitaire personnalisée,,,,,Climate precisa da sua agenda para fornecer uma experiência de publicidade personalizada às suas necessidades,Climate precisa da sua agenda para fornecer uma experiência de publicidade personalizada às suas necessidades,"Клімат потребує вашого календаря, щоб забезпечити персоналізовану рекламу, пристосовану до вас","Климату нужен ваш календарь, чтобы предоставить вам персонализированную рекламу",,Climate'ın size özel kişiselleştirilmiş reklam deneyimi sağlamak için takviminize ihtiyacı var,,,,האפליקציה זקוקה לגישה אל לוח השנה שלך כדי לספק לך פרסומות בהתאמה אישית,يحتاج التطبيق إلى التقويم على جهازك لتوفير تجربة إعلانات شخصية ومخصصة لك
NSCameraUsageDescription,not used,A message that tells the user why the app is requesting access to the device’s camera.,,,,,,,,,,,,,,,,,,
NSContactsUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s contacts.,,,,,,,,,,,,,,,,,,
NSFaceIDUsageDescription,not used,A message that tells the user why the app is requesting the ability to authenticate with Face ID.,,,,,,,,,,,,,,,,,,
NSGKFriendListUsageDescription,not used,A message that tells the user why the app needs access to their Game Center friends list.,,,,,,,,,,,,,,,,,,
NSHealthClinicalHealthRecordsShareUsageDescription,not used,A message to the user that explains why the app requested permission to read clinical records.,,,,,,,,,,,,,,,,,,
NSHealthShareUsageDescription,not used,A message to the user that explains why the app requested permission to read samples from the HealthKit store.,,,,,,,,,,,,,,,,,,
NSHealthUpdateUsageDescription,not used,A message to the user that explains why the app requested permission to save samples to the HealthKit store.,,,,,,,,,,,,,,,,,,
NSHomeKitUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s HomeKit configuration data.,,,,,,,,,,,,,,,,,,
NSIdentityUsageDescription,not used,A message that tells the user why the app is requesting identity information.,,,,,,,,,,,,,,,,,,
NSLocalNetworkUsageDescription,not used,A message that tells the user why the app is requesting access to the local network.,,,,,,,,,,,,,,,,,,
NSLocationAlwaysAndWhenInUseUsageDescription,,Get local weather and alerts for new destinations as you travel.,,La aplicación utiliza su ubicación en segundo plano para proporcionarle alertas e información meteorológica relevante mientras viaja y visita nuevos lugares.,Recevez la météo locale et des alertes pendant vos voyages.,,,,,Receba a meteorologia local e alertas para novos destinos enquanto viaja.,Receba a meteorologia local e alertas para novos destinos enquanto viaja.,"Отримуйте локальний прогноз і погодні попередження в тій місцевості, по якій ви подорожуєте",Получайте локальный прогноз и предупреждения для тех мест где вы бываете. ,,Seyahat ederken yeni yerler için yerel hava durumu ve uyarılar alın.,,,,קבל/י נתונים על מזג האוויר הנוכחי והתראות עבור יעדים חדשים במהלך נסיעות.,تعرف على حالة الطقس المحلي واحصل على إشعارات بخصوص الوجهات الجديدة التي تسافر إليها.
NSLocationAlwaysUsageDescription,,Get local weather and alerts for new destinations as you travel.,,La aplicación utiliza su ubicación en segundo plano para proporcionarle alertas e información meteorológica relevante mientras viaja y visita nuevos lugares.,Recevez la météo locale et des alertes pendant vos voyages.,,,,,Receba a meteorologia local e alertas para novos destinos enquanto viaja.,Receba a meteorologia local e alertas para novos destinos enquanto viaja.,"Отримуйте локальний прогноз і погодні попередження в тій місцевості, по якій ви подорожуєте",Получайте локальный прогноз и предупреждения для тех мест где вы бываете. ,,Seyahat ederken yeni yerler için yerel hava durumu ve uyarılar alın.,,,,קבל/י נתונים על מזג האוויר הנוכחי והתראות עבור יעדים חדשים במהלך נסיעות.,تعرف على حالة الطقس المحلي واحصل على إشعارات بخصوص الوجهات الجديدة التي تسافر إليها.
NSLocationUsageDescription,,Get local weather for your specific location.,,Obtenga local previsión meteorológica para su ubicación específica,Recevez la météo locale pour votre emplacement spécifique.,,,,,Receba a meteorologia local para a sua localização específica.,Receba a meteorologia local para a sua localização específica.,Місцевий прогноз без введення назв вручну,Местный прогноз без ввода названий вручную. ,,Belirli konumunuz için yerel hava durumunu alın.,,,,קבל/י נתונים על מזג האוויר הנוכחי במיקום הספציפי שבו את/ה נמצא/ת.,تعرف على حالة الطقس المحلي لموقعك المحدد.
NSLocationWhenInUseUsageDescription,,Get local weather for your specific location.,,Obtenga local previsión meteorológica para su ubicación específica,Recevez la météo locale pour votre emplacement spécifique.,,,,,Receba a meteorologia local para a sua localização específica.,Receba a meteorologia local para a sua localização específica.,Місцевий прогноз без введення назв вручну,Местный прогноз без ввода названий вручную. ,,Belirli konumunuz için yerel hava durumunu alın.,,,,קבל/י נתונים על מזג האוויר הנוכחי במיקום הספציפי שבו את/ה נמצא/ת.,تعرف على حالة الطقس المحلي لموقعك المحدد.
NSMicrophoneUsageDescription,not used,A message that tells the user why the app is requesting access to the device’s microphone.,,,,,,,,,,,,,,,,,,
NSMotionUsageDescription,,A message that tells the user why the app is requesting access to the device’s motion data.,,,,,,,,,,,,,,,,,,
NSNearbyInteractionUsageDescription,not used,A request for user permission to begin an interaction session with nearby devices.,,,,,,,,,,,,,,,,,,
NSPhotoLibraryAddUsageDescription,,A message that tells the user why the app is requesting add-only access to the user’s photo library.,,,,,,,,,,,,,,,,,,
NSPhotoLibraryUsageDescription,,A message that tells the user why the app is requesting access to the user’s photo library.,,,,,,,,,,,,,,,,,,
NSRemindersUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s reminders.,,,,,,,,,,,,,,,,,,
NSSensorKitUsageDescription,not used,A short description of the purpose of your app's research study.,,,,,,,,,,,,,,,,,,
NSSiriUsageDescription,,Shortcuts,,Atajos,Raccourcis,,,,,Atalhos,Atalhos,Ярлики,Ярлыки,,Kısayollar,,,,קיצורי דרך,الاختصارات
NSSpeechRecognitionUsageDescription,not used,A message that tells the user why the app is requesting to send user data to Apple’s speech recognition servers.,,,,,,,,,,,,,,,,,,
NSUserTrackingUsageDescription,,We woud like to undertstand how you installed this app.,,Esta información se utilizará para ofrecerte solamente anuncios relevantes. ,Ces données serviront uniquement à vous fournir des annonces pertinentes. ,,,,,Esses dados serão usados para fornecer a você apenas anúncios relevantes.,Estes dados serão utilizados apenas para lhe apresentar anúncios relevantes. ,Ця інформація використовується тільки для надання релевантної реклами.,Эта информация используется только для предоставления релевантной рекламы. ,,Bu veriler yalnızca size ilgili reklamlar sunmak üzere kullanılacak. ,,,,ברצוננו להבין איך התקנת את האפליקציה.,نود أن نعرف كيف قمت بتثبيت هذا التطبيق.
NSVideoSubscriberAccountUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s TV provider account.,,,,,,,,,,,,,,,,,,